61 	 19
            	   2.000 	   3.000 	   4.000 	   5.000 	   6.000 	   7.000 	   8.000 	   9.000 	  10.000 	  11.000 	  12.000 	  13.000 	  14.000 	  15.000 	  16.000 	  17.000 	  18.000 	  19.000 	  20.000 	
  -5.000 	   0.006 	   0.046 	   0.141 	   0.249 	   0.387 	   0.464 	   0.425 	   0.366 	   0.292 	   0.207 	   0.121 	   0.053 	  -0.003 	  -0.052 	  -0.101 	  -0.154 	  -0.210 	  -0.271 	  -0.338 	
  -4.500 	   0.007 	   0.052 	   0.150 	   0.262 	   0.408 	   0.469 	   0.437 	   0.386 	   0.318 	   0.238 	   0.153 	   0.079 	   0.018 	  -0.036 	  -0.086 	  -0.139 	  -0.196 	  -0.257 	  -0.323 	
  -4.000 	   0.009 	   0.059 	   0.158 	   0.275 	   0.430 	   0.473 	   0.449 	   0.405 	   0.343 	   0.268 	   0.185 	   0.107 	   0.041 	  -0.017 	  -0.071 	  -0.124 	  -0.181 	  -0.243 	  -0.310 	
  -3.500 	   0.010 	   0.065 	   0.166 	   0.287 	   0.442 	   0.476 	   0.460 	   0.423 	   0.366 	   0.296 	   0.219 	   0.139 	   0.068 	   0.005 	  -0.053 	  -0.109 	  -0.167 	  -0.229 	  -0.297 	
  -3.000 	   0.012 	   0.071 	   0.174 	   0.300 	   0.450 	   0.479 	   0.470 	   0.439 	   0.387 	   0.323 	   0.251 	   0.173 	   0.098 	   0.031 	  -0.031 	  -0.091 	  -0.152 	  -0.216 	  -0.284 	
  -2.500 	   0.014 	   0.076 	   0.182 	   0.312 	   0.454 	   0.481 	   0.479 	   0.452 	   0.406 	   0.348 	   0.282 	   0.209 	   0.133 	   0.061 	  -0.005 	  -0.069 	  -0.133 	  -0.200 	  -0.271 	
  -2.000 	   0.016 	   0.082 	   0.189 	   0.323 	   0.454 	   0.483 	   0.487 	   0.464 	   0.424 	   0.371 	   0.311 	   0.243 	   0.170 	   0.095 	   0.025 	  -0.043 	  -0.111 	  -0.181 	  -0.256 	
  -1.500 	   0.018 	   0.087 	   0.197 	   0.334 	   0.454 	   0.484 	   0.492 	   0.473 	   0.439 	   0.392 	   0.338 	   0.275 	   0.206 	   0.132 	   0.058 	  -0.014 	  -0.086 	  -0.160 	  -0.238 	
  -1.000 	   0.019 	   0.093 	   0.204 	   0.342 	   0.451 	   0.485 	   0.494 	   0.480 	   0.451 	   0.411 	   0.362 	   0.305 	   0.241 	   0.170 	   0.094 	   0.017 	  -0.059 	  -0.138 	  -0.220 	
  -0.500 	   0.021 	   0.098 	   0.211 	   0.348 	   0.449 	   0.486 	   0.495 	   0.485 	   0.461 	   0.426 	   0.382 	   0.330 	   0.271 	   0.205 	   0.132 	   0.053 	  -0.030 	  -0.114 	  -0.202 	
   0.000 	   0.023 	   0.102 	   0.217 	   0.353 	   0.447 	   0.485 	   0.493 	   0.487 	   0.468 	   0.438 	   0.399 	   0.352 	   0.297 	   0.235 	   0.166 	   0.088 	   0.003 	  -0.087 	  -0.181 	
   0.500 	   0.025 	   0.107 	   0.224 	   0.357 	   0.444 	   0.481 	   0.490 	   0.486 	   0.471 	   0.446 	   0.411 	   0.368 	   0.317 	   0.259 	   0.192 	   0.118 	   0.034 	  -0.059 	  -0.160 	
