Flap_For 	Edge_For 	Flap_Mom 	Edge_Mom 	Aero_Tor 	Aero_Pow 	Rotor_Cp 	Aero_Thr 	Rotor_Ct 	
[kN] 		[kN] 		[kNm] 		[kNm] 		[kNm] 		[kW] 		[-] 		[kN] 		[-] 		
   35.90 	    2.74 	 1473.27 	   91.48 	  285.66 	  206.41 	    0.44 	  107.70 	    0.92 	
   53.02 	    5.92 	 2120.73 	  196.68 	  614.31 	  443.88 	    0.49 	  159.05 	    0.87 	
   68.60 	   10.23 	 2693.33 	  341.47 	 1066.35 	  770.51 	    0.49 	  205.81 	    0.79 	
   92.72 	   14.05 	 3636.29 	  469.38 	 1465.77 	 1221.82 	    0.49 	  278.16 	    0.78 	
  121.13 	   18.35 	 4750.52 	  612.90 	 1913.96 	 1823.91 	    0.49 	  363.38 	    0.78 	
  153.32 	   23.22 	 6013.44 	  775.54 	 2421.84 	 2597.01 	    0.49 	  459.97 	    0.78 	
  189.42 	   28.64 	 7429.78 	  956.56 	 2987.15 	 3562.95 	    0.49 	  568.25 	    0.78 	
  224.04 	   35.63 	 8761.12 	 1191.10 	 3719.41 	 4712.90 	    0.49 	  672.13 	    0.76 	
  197.03 	   40.36 	 7522.86 	 1329.47 	 4153.94 	 5263.50 	    0.42 	  591.09 	    0.56 	
  176.27 	   42.93 	 6547.94 	 1374.27 	 4298.86 	 5447.12 	    0.34 	  528.81 	    0.43 	
  163.98 	   45.69 	 5923.13 	 1419.50 	 4445.89 	 5633.42 	    0.28 	  491.95 	    0.34 	
  155.86 	   48.72 	 5471.56 	 1468.90 	 4606.48 	 5836.91 	    0.24 	  467.59 	    0.29 	
  150.39 	   52.04 	 5129.63 	 1524.07 	 4785.60 	 6063.88 	    0.20 	  451.18 	    0.24 	
  146.75 	   55.65 	 4863.36 	 1585.33 	 4984.19 	 6315.51 	    0.18 	  440.25 	    0.21 	
  144.39 	   59.49 	 4652.31 	 1651.86 	 5199.53 	 6588.38 	    0.16 	  433.16 	    0.18 	
  142.58 	   63.42 	 4465.81 	 1718.33 	 5415.08 	 6861.50 	    0.14 	  427.73 	    0.16 	
  141.16 	   67.41 	 4297.35 	 1783.78 	 5627.77 	 7131.00 	    0.12 	  423.47 	    0.15 	
  140.48 	   71.60 	 4160.42 	 1854.28 	 5856.48 	 7420.80 	    0.11 	  421.43 	    0.13 	
  140.34 	   76.01 	 4046.16 	 1928.97 	 6098.63 	 7727.63 	    0.10 	  421.02 	    0.12 	
  140.53 	   80.59 	 3946.23 	 2006.11 	 6348.81 	 8044.64 	    0.09 	  421.60 	    0.11 	
  140.96 	   85.33 	 3856.63 	 2085.01 	 6604.95 	 8369.19 	    0.08 	  422.87 	    0.10 	
  141.60 	   90.22 	 3778.54 	 2166.31 	 6868.89 	 8703.63 	    0.08 	  424.81 	    0.09 	
